Num.;Site;Lieu-dit;Structure;Type;Néo;BA-BM;BF 1;BF 2;BF 3 / Ha anc.;Fer 1;Diamètre (m);Taille non-concentrique;Orientation de l’entrée (deg);Commentaire;Coordonnées (Lamb93);Zone privilegié;Bibliographie
216;Marolles-sur-Seine;Le Tureau des Gardes;E 6;Enclos circulaire;;;*;;;;12.5;;20.6;Enclos positionné dans une cuvette naturelle;700217, 6809354;;"Gouge & Séguier 1995; Gouge, Mordant et al. 1994"
243;Marolles-sur-Seine;Les Carrières;E 23;Enclos ovale;;;;;*;;12.5;;160;;704949, 6809363;;"Gouge 1993; Gouge, Mordant et al. 1994"
181;Marolles-sur-Seine;La Butte Saint-Donain;St 84;Enclos circulaire;;;;;;;12.4;;;;700938, 6808884;;Mahé 1996b
195;Marolles-sur-Seine;La Croix de la Mission;E 25;Enclos circulaire;;;;;;;12.4;;;;701016, 6809648;;"Peake et al. 1999; Peake & Delattre 2005"
221;Marolles-sur-Seine;Le Tureau des Gardes;E 1;Enclos circulaire;;;;;;;12.4;;;;700666, 6809479;;"Gouge & Lang 1994; Gouge, Mordant et al. 1994"
179;Marolles-sur-Seine;La Butte Saint-Donain;St 285;Enclos circulaire;;;;;*;;12.3;;;;700917, 6808747;;Mahé 1996b
215;Marolles-sur-Seine;Le Tureau des Gardes;St. 2.2;Enclos circulaire;;;*;;*;;12.2;;91.3;;700196, 6809316;;"Vatan et al. 2001; Gouge, Mordant et al. 1994"
226;Marolles-sur-Seine;Les Carrières;E 36;Enclos circulaire;;;;;*;;12;;;;704646, 6809370;;"Gouge 1993; Gouge, Mordant et al. 1994"
227;Marolles-sur-Seine;Les Carrières;E 35;Enclos circulaire;;;;;*;;12;;;;704722, 6809379;;"Gouge 1993; Gouge, Mordant et al. 1994"
240;Marolles-sur-Seine;Les Carrières;E 20;Enclos ovale;;;;;*;;12;;86.7;;704935, 6809314;;"Gouge 1993; Gouge, Mordant et al. 1994"
190;Marolles-sur-Seine;La Butte Saint-Donain;St. 465;Enclos circulaire;;;;;;;11.7;;;;701037, 6808691;;Mahé 1996b
228;Marolles-sur-Seine;Les Carrières;E 9;Enclos circulaire;;;;;*;;11.6;;;Présence d’ossements de bœuf;704741, 6809343;;"Gouge 1993; Gouge, Mordant et al. 1994"
242;Marolles-sur-Seine;Les Carrières;E 18;Enclos circulaire;;;;;*;;11.6;;;;704949, 6809298;;"Gouge 1993; Gouge, Mordant et al. 1994"
178;Marolles-sur-Seine;La Butte Saint-Donain;St. 283;Enclos circulaire;;;;;;;11.5;;;;700913, 6808778;;Mahé 1996b
185;Marolles-sur-Seine;La Butte Saint-Donain;St. 466;Enclos circulaire;;;;;;;11.1;;;;701004, 6808686;;Mahé 1996b
188;Marolles-sur-Seine;La Butte Saint-Donain;St. 462;Enclos circulaire;;;;;;;10.6;;;;701017, 6808732;;Mahé 1996b
214;Marolles-sur-Seine;Le Tureau des Gardes;St. 7;Enclos circulaire;;;;;;;10.4;;;;700178, 6809235;;"Vatan et al. 2001; Gouge, Mordant et al. 1994"
187;Marolles-sur-Seine;La Butte Saint-Donain;St. 443;Enclos circulaire;;;;;;;10.2;;;;701016, 6808698;;Mahé 1996b
207;Marolles-sur-Seine;La Croix St. Jacques;E 106;Enclos circulaire;;;*;;;;10;;168.1;;701774, 6808854;;Peake & Delattre 2015
223;Marolles-sur-Seine;Les Carrières;E 39;Enclos circulaire;;;;;*;;10;;;;704606, 6809382;;"Gouge 1993; Gouge, Mordant et al. 1994"
234;Marolles-sur-Seine;Les Carrières;E 10;Enclos circulaire;;;;;*;;9.6;;;;704875, 6809373;;"Gouge 1993; Gouge, Mordant et al. 1994"
209;Marolles-sur-Seine;La Croix St. Jacques;E 28;Enclos circulaire;;;*;;;;9.5;;;;701814, 6808918;;Peake & Delattre 2015
212;Marolles-sur-Seine;Le Tureau des Gardes;St. 3;Enclos circulaire;;;;;;;9.5;;127.9;;700102, 6809482;;"Vatan et al. 2001; Gouge, Mordant et al. 1994"
235;Marolles-sur-Seine;Les Carrières;E 3;Enclos circulaire;;;;;*;;9.4;;;;704881, 6809453;;"Gouge 1993; Gouge, Mordant et al. 1994"
191;Marolles-sur-Seine;La Butte Saint-Donain;St. 470;Double enclos circulaire;;;;;;;9.1;;;;701053, 6808752;;Mahé 1996b
175;Marolles-sur-Seine;La Butte Saint-Donain;St. 90;Enclos circulaire;;;;;;;9.1;;;;700856, 6808875;;Mahé 1996b
211;Marolles-sur-Seine;Le Grand Canton;St. 83;Enclos circulaire;;;;;;;9;;96.9;;702011, 6807936;;Séguier 1995
217;Marolles-sur-Seine;Le Tureau des Gardes;E 5;Enclos circulaire;;;;;;;9;;336;;700287, 6809309;;"Gouge & Lang 1994; Gouge, Mordant et al. 1994"
219;Marolles-sur-Seine;Le Tureau des Gardes;E 4;Enclos circulaire;;;;;;;9;;;;700313, 6809316;;"Gouge & Lang 1994; Gouge, Mordant et al. 1994"
246;Marolles-sur-Seine;Les Carrières;E 24;Enclos circulaire;;;;;*;;8.8;;;;704966, 6809368;;"Gouge 1993; Gouge, Mordant et al. 1994"
229;Marolles-sur-Seine;Les Carrières;E 7;Enclos circulaire;;;;;*;;8.5;;;;704816, 6809393;;"Gouge 1993; Gouge, Mordant et al. 1994"
213;Marolles-sur-Seine;Le Tureau des Gardes;St. 35;Enclos ovale;;;;;;;8.3;;;;700167, 6809247;;"Vatan et al. 2001; Gouge, Mordant et al. 1994"
186;Marolles-sur-Seine;La Butte Saint-Donain;St. 459;Enclos circulaire;;;;;;;8.2;;;;701009, 6808720;;Mahé 1996b
245;Marolles-sur-Seine;Les Carrières;E 17;Enclos circulaire;;;;;*;;8.2;;;;704953, 6809255;;"Gouge 1993; Gouge, Mordant et al. 1994"
244;Marolles-sur-Seine;Les Carrières;E 21;Enclos circulaire;;;;;*;;7.9;;324.1;;704950, 6809328;;"Gouge 1993; Gouge, Mordant et al. 1994"
199;Marolles-sur-Seine;La Croix de la Mission;E 32;Enclos circulaire;;;;;;;7.8;;;;701030, 6809725;;"Peake et al. 1999; Peake & Delattre 2005"
239;Marolles-sur-Seine;Les Carrières;E 13;Enclos circulaire;;;;;*;;7.7;;;;704914, 6809320;;"Gouge 1993; Gouge, Mordant et al. 1994"
200;Marolles-sur-Seine;La Croix de la Mission;E 4;Enclos circulaire;;*;;;;;7.4;;129.5;;701055, 6809708;;"Peake et al. 1999; Peake & Delattre 2005"
253;Marolles-sur-Seine;Les Carrières;E 31;Enclos circulaire;;;;;*;;6.7;;;;705018, 6809279;;"Gouge 1993; Gouge, Mordant et al. 1994"
225;Marolles-sur-Seine;Les Carrières;E 37;Enclos circulaire;;;;;*;;6.5;;;;704620, 6809349;;"Gouge 1993; Gouge, Mordant et al. 1994"
250;Marolles-sur-Seine;Les Carrières;E 32;Enclos circulaire;;;;;*;;6;;;;704991, 6809270;;"Gouge 1993; Gouge, Mordant et al. 1994"
224;Marolles-sur-Seine;Les Carrières;E 38;Enclos circulaire;;;;;*;;5.9;;;;704618, 6809340;;"Gouge 1993; Gouge, Mordant et al. 1994"
192;Marolles-sur-Seine;La Butte Saint-Donain;St. 471;Enclos circulaire interne;;;;;;;5.5;;;A l’intérieur de l’EC St. 470;701054, 6808752;;Mahé 1996b
210;Marolles-sur-Seine;Le Carreau Franc;NN;Enclos circulaire;;;;;;;;;19.1;;702771, 6809083;;Buret 1997
259;Marolles-sur-Seine;Les Gours aux Lions;E 7;Enclos circulaire;;;*;;;;;;;;704989, 6809563;;Mordant & Mordant 1970a
236;Marolles-sur-Seine;Les Carrières;E 4;Enclos ovale;;;;;*;;;;;;704888, 6809426;;"Gouge 1993; Gouge, Mordant et al. 1994"
266;Marsangy;Le Pré des Forges;NN;Enclos circulaire;;;;;;*;22;;;;719905, 6778505;;Thévenot 1974, 583–585
265;Marsangy;Le Pré des Forges;NN;Enclos circulaire;;;;;;;15;;;;719868, 6778283;;Thévenot 1974, 583–585
268;Michery;La Tête de la Pierre / Climat de Gouverne;NN;Enclos circulaire;;;;;;;16;;187;;718776, 6800460;;"Prampart 1984; Baray 2009, 65"
267;Michery;La Longue Raie;Struct. I;Enclos circulaire;;;;;;;12.5;;;;718114, 6801144;;Baray, Deffressigne et al. 1994
269;Michery;La Tête de la Pierre / Climat de Gouverne;Enclos I;Enclos circulaire;;;;;;*;12.5;;;;718808, 6800506;;"Prampart 1984; Baray 2009, 65"
271;Misy-sur-Yonne;Le Bois des Refuges;E 1;Enclos circulaire;;;*;;*;;13.5;;121.1;;705359, 6807019;;Mordant & Mordant 1977
270;Misy-sur-Yonne;Le Bois des Refuges;E 0;Enclos circulaire;;;;;;;13;;;;705353, 6806999;;Mordant & Mordant 1977
272;Montereau-Fault-Yonne; Les Sécherons;NN;Enclos circulaire;;;;;;;19.5;;;;698515, 6810570;;Gouge, Mordant et al. 1994
273;Mouy-sur-Seine;Le Grand Gué;1.5;Enclos circulaire;;*;;;;;8;;;;Non positionné;;Ameye et al. 2016
274;Mouy-sur-Seine;Le Grand Gué;1.3;Enclos circulaire;;*;;;;;6;;;;Non positionné;;Ameye et al. 2016
276;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;21.1;;131.3;;735280, 6822083;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
281;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;15.5;;86.5;;735303, 6822148;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
280;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;13.2;;289.4;;735285, 6822158;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
277;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;12.1;;329.5;;735267, 6822083;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
289;Nogent-sur-Seine;Noue de Crevan;Enclos II;Enclos circulaire;;;;;;;11.9;;104.1;;737582, 6823805;;Chertier 1981, 450
282;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;11.7;;133.3;;735311, 6822162;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
286;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;11.7;;167;;735481, 6822153;;"Dugois 2000a; Desbrosse et al. 2009"
275;Nogent-sur-Seine;Bas de Ligny;NN;Enclos circulaire;;;;;*;;11;;;;736649, 6822104;;Dugois 2000b
278;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;10.4;;103.7;;735278, 6822169;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
279;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;9.7;;265.4;;735283, 6822185;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
288;Nogent-sur-Seine;Noue de Crevan;Enclos IV;Enclos circulaire;;;;;;;9;;;;737578, 6823823;;Chertier 1981, 450
287;Nogent-sur-Seine;Noue de Crevan;Enclos III;Enclos circulaire;;;;;;;8.9;;;;737572, 6823816;;Chertier 1981, 450
283;Nogent-sur-Seine;Les Guignons;E 10;Enclos circulaire;;;;;;;;;174.3;;735442, 6821916;;"Dugois 1996; Dugois 2000a; Desbrosse et al. 2009"
284;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;;;143.4;;735454, 6821903;;"Dugois 2000a; Desbrosse et al. 2009"
285;Nogent-sur-Seine;Les Guignons;NN;Enclos circulaire;;;;;;;;;133.3;;735480, 6821884;;"Dugois 2000a; Desbrosse et al. 2009"
302;Passy;La Sablonnière;E 29;Enclos circulaire;;;;;;;20.5;;;;720822, 6779402;;Lemercier et al. 2010, relevé H. Carré
318;Passy;La Sablonnière;L 91;Enclos circulaire;;;;;;;20;;116;;720927, 6779442;;Fonton 1983
319;Passy;La Sablonnière;E 51;Double enclos circulaire;;;;;;;18.7;;;;720929, 6779372;;Lemercier et al. 2010, relevé H. Carré
291;Passy;La Ferme Richebourg;E 20;Enclos circulaire;;;;;;;18.2;;;;720637, 6778997;; Lemercier et al. 2010
294;Passy;La Ferme Richebourg;E 25;Enclos circulaire;;;;;;;18;;;;720645, 6779070;;Duhamel 1983
301;Passy;La Sablonnière;L 30;Enclos circulaire;;;;;;;18;;;;720814, 6779491;;Fonton 1983
312;Passy;La Sablonnière;L 57;Enclos circulaire;;;;;;;18;;146.2;;720900, 6779444;;Fonton 1983
313;Passy;La Sablonnière;E 52;Enclos circulaire;;;;;;;16.9;;;;720902, 6779375;;Lemercier et al. 2010, relevé H. Carré
323;Passy;La Sablonnière;E 50;Enclos circulaire;;;;;;;16.8;;127;;720950, 6779394;;Lemercier et al. 2010, relevé H. Carré
308;Passy;La Sablonnière;E 58;Enclos circulaire;;;*;;;;16.5;;;;720881, 6779342;;"Carré 2004; Lemercier et al. 2010"
292;Passy;La Ferme Richebourg;E 23;Enclos circulaire;;;;;;;16;;;;720638, 6779038;;Duhamel 1983
300;Passy;La Sablonnière;E 28;Enclos circulaire;;;;;;;15;;135.9;;720810, 6779426;;Lemercier et al. 2010, relevé H. Carré
296;Passy;La Sablonnière;E 22;Enclos circulaire;;;;;;;14.1;;;;720777, 6779423;;Lemercier et al. 2010, relevé H. Carré
299;Passy;La Sablonnière;B1;Enclos circulaire;;;;;;;14;;;Recoupé par l'EC B2 (daté du La Tène);720808, 6779535;;"Fonton 1982; Lemercier et al. 2010, plans H. Carré"
295;Passy;La Ferme Richebourg;E 41;Enclos circulaire;;;;;;;12.5;;;;720645, 6779092;;Duhamel 1983
310;Passy;La Sablonnière;E 53;Enclos circulaire;;;;;;;12.5;;;;720889, 6779380;;Lemercier et al. 2010, relevé H. Carré
311;Passy;La Sablonnière;C;Enclos circulaire;;;;;;;12;;;;720891, 6779516;;Fonton 1982
303;Passy;La Sablonnière;E 64;Enclos circulaire;;;;;;;11.8;;;;720826, 6779347;;Lemercier et al. 2010, relevé H. Carré
304;Passy;La Sablonnière;E 32;Enclos circulaire;;;;;;;11.7;;;;720833, 6779389;;Lemercier et al. 2010, relevé H. Carré
297;Passy;La Sablonnière;L 65;Enclos circulaire;;;*;;;;11.5;;;;720790, 6779477;;Fonton 1983
321;Passy;La Sablonnière;L 14;Enclos circulaire;;;;;;;11.5;;;;720932, 6779482;;Fonton 1983
298;Passy;La Sablonnière;L 66;Enclos circulaire;;;;;;;11;;;;720803, 6779465;;Lemercier et al. 2010, relevé H. Carré
324;Passy;La Sablonnière;L 94;Enclos circulaire;;;;;;;10.5;;;;720954, 6779440;;Fonton 1983
317;Passy;La Sablonnière;L 43;Enclos circulaire;;;;;;;10;;;;720919, 6779471;;Fonton 1983
316;Passy;La Sablonnière;L 45;Enclos circulaire;;;;;;;9.5;;;;720918, 6779455;;Fonton 1983
307;Passy;La Sablonnière;E 44;Enclos circulaire;;;;;;;9.1;;168.4;;720876, 6779416;;Lemercier et al. 2010, relevé H. Carré
320;Passy;La Sablonnière;L 60;Enclos circulaire;;;;;;;9;;;;720931, 6779463;;"Fonton 1983; Lemercier et al. 2010"
305;Passy;La Sablonnière;E 43;Enclos circulaire;;;;;;;8.6;;158.4;;720864, 6779418;;Lemercier et al. 2010, relevé H. Carré
306;Passy;La Sablonnière;E 41;Enclos circulaire;;;;;;;8;;;;720871, 6779434;;Lemercier et al. 2010, relevé H. Carré
322;Passy;La Sablonnière;E 46;Enclos circulaire;;;;;;;7.5;;143.5;;720945, 6779419;;Lemercier et al. 2010, relevé H. Carré
309;Passy;La Sablonnière;E 40;Enclos circulaire;;;;;;;7.1;;;;720883, 6779406;;Lemercier et al. 2010, relevé H. Carré
314;Passy;La Sablonnière;E 61;Enclos circulaire;;;;;;;6.1;;;;720907, 6779350;;Lemercier et al. 2010, relevé H. Carré
290;Passy;La Ferme Richebourg;NN;Enclos circulaire;;;;;;;;;147.3;;720607, 6778979;;Duhamel 1985
293;Passy;Les Graviers;NN;Enclos circulaire;;;;;;;;;182.2;;720643, 6779249;;Lemercier et al. 2010
315;Passy;La Sablonnière;L 42;Enclos circulaire;;;;;;;;;167.8;;720914, 6779475;;Fonton 1983
332;Passy-Véron;Les Près Pendus / La Truie Pendue;E 14;Enclos circulaire;;;;;;;17.5;;;;721530, 6780304;;Depierre et al. 1997
331;Passy-Véron;Les Près Pendus / La Truie Pendue;M 10;Enclos circulaire;*;;;;;;17;;;;721521, 6780444;;Chevrier et al. 2009
326;Passy-Véron;Les Près Pendus / La Truie Pendue;E 101;Enclos circulaire;;;*;;;;15;;184.4;;721490, 6780370;;Depierre et al. 1997
325;Passy-Véron;Les Près Pendus / La Truie Pendue;E 16;Enclos circulaire;;;;;;;14;;189.9;;721486, 6780278;;Depierre et al. 1997
334;Passy-Véron;Les Près Pendus / La Truie Pendue;M 11;Enclos circulaire;;;;;;;13;;;;721537, 6780467;;Chevrier et al. 2009
336;Passy-Véron;Les Près Pendus / La Truie Pendue;E 8;Enclos circulaire;;;;;;;11.5;;;;721550, 6780338;;Depierre et al. 1997
330;Passy-Véron;Les Près Pendus / La Truie Pendue;M 2;Enclos circulaire;;;;;;;10.2;;109.7;;721518, 6780419;;Chevrier et al. 2009
327;Passy-Véron;Les Près Pendus / La Truie Pendue;E 7;Enclos circulaire;;;;;;;9.9;;197.7;;721496, 6780340;;Depierre et al. 1997
333;Passy-Véron;Les Près Pendus / La Truie Pendue;E 13;Enclos circulaire;;;;;;;9.6;;;;721530, 6780347;;Depierre et al. 1997
337;Passy-Véron;Les Près Pendus / La Truie Pendue;M 6;Enclos circulaire;;;;;;;7.5;;119.9;;721578, 6780457;;Chevrier et al. 2009
335;Passy-Véron;Les Près Pendus / La Truie Pendue;M 3;Enclos circulaire;;;;;;;6.3;;;;721548, 6780427;;Chevrier et al. 2009
338;Passy-Véron;Les Près Pendus / La Truie Pendue;M 7;Enclos circulaire;;;;;;;6;;111.7;;721585, 6780467;;Chevrier et al. 2009
329;Passy-Véron;Les Près Pendus / La Truie Pendue;E 4;Enclos circulaire;;;*;;;;5.6;;;;721506, 6780362;;Depierre et al. 1997
328;Passy-Véron;Les Près Pendus / La Truie Pendue;M 9;Enclos circulaire;;;*;;;;;;72.1;;721500, 6780383;;Chevrier et al. 2009
339;Pont-sur-Yonne;Beaujeu / Terre aux Pots;E 1;Enclos circulaire;;;*;;;;17;;150;;715860, 6797306;;Baray 2009, 44
340;Pont-sur-Yonne;Beaujeu / Terre aux Pots;E 2;Enclos circulaire;;;*;;;;;;;;715877, 6797277;;Baray 2009, 44
341;Saint Sauveur les Bray;Les Fèves Thomas;NN;Enclos circulaire;;;;;;;14.3;;165.3;;714209, 6815343;;"Mordant 1976; Gouge, Mordant et al. 1994"
344;Saint-Julien-du-Salut;Les Sablons;E 162;Enclos circulaire;;;*;;;;13.5;;143.2;;723175, 6771902;;"Augereau 2015; Augereau & Meunier 2017"
346;Saint-Julien-du-Salut;Les Sablons;E 111;Enclos circulaire;*;;;;;;11.8;;;Datation au Néolithique reste hypothétique;723202, 6771922;;"Augereau 2015; Augereau & Meunier 2017"
347;Saint-Julien-du-Salut;Les Sablons;E 112;Enclos circulaire;*;;;;;;11.6;;;Idem, E111;723215, 6771923;;"Augereau 2015; Augereau & Meunier 2017"
345;Saint-Julien-du-Salut;Les Sablons;E 105;Enclos circulaire;;;;;;;9.4;;70.8;;723184, 6771951;;"Augereau 2015; Augereau & Meunier 2017"
343;Saint-Julien-du-Salut;Les Sablons;E 106;Enclos circulaire;;;;;;;9.3;;189.7;;723163, 6771937;;"Augereau 2015; Augereau & Meunier 2017"
342;Saint-Julien-du-Salut;Les Sablons;E 104;Enclos circulaire;;;;;;;8.6;;;;723158, 6771986;;"Augereau 2015; Augereau & Meunier 2017"
349;Serbonnes;La Créole;E 2;Double enclos circulaire;;;;;*;*;19;;;Triple enclos, mais avec les fossés intérieurs très étroits;715948, 6803668;;"Prampart 1984; Baray, Deffressigne et al. 1994"
348;Serbonnes;La Créole;E 4;Enclos quadrangulaire;;;;;;*;14;;;;715942, 6803622;;"Prampart 1984; Baray, Deffressigne et al. 1994"
351;Serbonnes;Le Champ Rabault;Enclos I;Enclos circulaire;;;;;*;;13;;;;716665, 6803143;;Baray 2009, 45
353;Serbonnes;Le Champ Rabault;Enclos IV;Enclos circulaire;;;;;;;12;;167.2;;716859, 6803176;;Baray 2009, 54
350;Serbonnes;Le Champ Rabault;Enclos III;Enclos ovale;;;;;*;;;21,0 x 14,8;241;;716518, 6803053;;Baray 2009, 46
352;Serbonnes;Le Champ Rabault;Enclos II;Enclos sub-circulaire;;;;;*;;;16,0 x 14,0;;;716666, 6803168;;Baray 2009, 46
360;Soucy;Mocques Bouteilles;E 7 bis;Double enclos circulaire;;;*;;*;;27.3;;;;725222, 6794564;;Baray, Deffressigne et al. 1994
367;Soucy;Mocques Bouteilles; E 21 bis;Double enclos circulaire;;;;;*;;20.5;;357.6;;725326, 6794508;;Baray, Deffressigne et al. 1994
359;Soucy;Mocques Bouteilles;E 7;Enclos circulaire interne;;;;;*;;19.4;;;;725222, 6794564;;Baray, Deffressigne et al. 1994
365;Soucy;Mocques Bouteilles;E 20;Enclos circulaire;;;;;;*;19;;;;725315, 6794540;;Baray, Deffressigne et al. 1994
366;Soucy;Mocques Bouteilles;E 21;Enclos circulaire interne;;;;;*;;17.3;;;;725326, 6794507;;Baray, Deffressigne et al. 1994
362;Soucy;Mocques Bouteilles;E 26;Double enclos circulaire;;;;;;;15.5;;2.5;Le fossé extérieur empiète sur le fossé interne;725261, 6794499;;Baray, Deffressigne et al. 1994
361;Soucy;Mocques Bouteilles;E 19;Enclos circulaire;;;;;;;15;;247.7;L’entrée aménagée avec deux poteaux;725241, 6794525;;Baray, Deffressigne et al. 1994
356;Soucy;Mocques Bouteilles;E 6;Double enclos circulaire;;;;;;;14.1;;;Un fossé se présente comme une rigole peu profonde;725204, 6794547;;Baray, Deffressigne et al. 1994
363;Soucy;Mocques Bouteilles;E 16;Enclos circulaire;;;;;*;;12.5;;;;725295, 6794537;;Baray, Deffressigne et al. 1994
368;Soucy;Mocques Bouteilles;E 3;Enclos circulaire;;;;;*;;12;;311.4;;725332, 6794594;;Baray, Deffressigne et al. 1994
358;Soucy;Mocques Bouteilles;E 27;Enclos circulaire;;;;;;;11.9;;;;725220, 6794497;;Baray, Deffressigne et al. 1994
355;Soucy;Mocques Bouteilles;E 6;Enclos circulaire interne;;;;;;;11.7;;;;725204, 6794547;;Baray, Deffressigne et al. 1994
354;Soucy;Mocques Bouteilles;E 10;Enclos circulaire;;;;;*;;11.5;;;;725198, 6794580;;Baray, Deffressigne et al. 1994
370;Soucy;Mocques Bouteilles;E 2;Enclos circulaire;;;;;;;11.5;;;Traces de palissade;725345, 6794584;;Baray, Deffressigne et al. 1994
372;Soucy;Mocques Bouteilles;E 25;Enclos circulaire;;;;;;;11;;;;725353, 6794524;;Baray, Deffressigne et al. 1994
373;Soucy;Mocques Bouteilles;E 1;Enclos circulaire;;;;;*;;10.6;;;Traces de palissade dans le fossé;725357, 6794562;;Baray, Deffressigne et al. 1994
357;Soucy;Mocques Bouteilles;E 11;Enclos circulaire;;;;;;;9.6;;;;725218, 6794583;;Baray, Deffressigne et al. 1994
369;Soucy;Mocques Bouteilles;E 24;Enclos circulaire;;;;;*;*;9.3;;;;725339, 6794523;;Baray, Deffressigne et al. 1994
364;Soucy;Mocques Bouteilles;E 23;Enclos circulaire;;;;;;;9;;;;725311, 6794518;;Baray, Deffressigne et al. 1994
371;Soucy;Mocques Bouteilles;E 17;Enclos circulaire;;;;;*;;9;;;;725347, 6794550;;Baray, Deffressigne et al. 1994
375;Varennes-sur-Seine; Le Marais du Pont;E 3;Enclos circulaire;;;;;;;22;;;;696679, 6807948;;"Gouge, Mordant et al. 1994; Gouge & Peake 2005"
374;Varennes-sur-Seine; Le Marais du Pont;E 1;Double enclos circulaire;;*;;;;;16.5;;;;696640, 6807998;;"Gouge, Mordant et al. 1994; Gouge & Peake 2005"
376;Varennes-sur-Seine; Le Marais du Pont;E 2;Enclos circulaire;;;;;;;10;;;;696679, 6807984;;"Gouge, Mordant et al. 1994; Gouge & Peake 2005"
377;Varennes-sur-Seine;Le Marais du Pont;E 1 bis;Enclos circulaire interne;;*;;;;;6.9;;;;696637, 6807998;;"Gouge, Mordant et al. 1994; Gouge & Peake 2005"
378;Villemanoche;Le Champ d'Eau;NN;Enclos circulaire;;;;;*;;15;;;;714154, 6800221;;Baray 2009, 57
379;Villemanoche;Le Vieux Cimitière;E 2;Enclos circulaire;;;;;;;13;;;;713189, 6800097;;Baray 2009, 56–57
405;Villeneuve-la-Guyard;Les Falaises de Prépoux;159 / AB;Enclos quadrangulaire;;;;*;;;22.9;;;;705575, 6806065;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
385;Villeneuve-la-Guyard;Les Falaises de Prépoux;28 / E;Enclos circulaire;;;;;;;22.5;;25.8;;705406, 6806053;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
391;Villeneuve-la-Guyard;Les Falaises de Prépoux;50 / O, O';Double enclos circulaire;;;;;;;20;;;;705447, 6806142;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
401;Villeneuve-la-Guyard;Les Falaises de Prépoux;178 / AE;Enclos circulaire;;;;*;;;18.8;;59;;705561, 6806142;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
396;Villeneuve-la-Guyard;Les Falaises de Prépoux;87;Enclos quadrangulaire;;;;;;;18.5;;3.5;;705503, 6806049;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
398;Villeneuve-la-Guyard;Les Falaises de Prépoux;82 / R;Enclos circulaire;;;;;;;18.4;;;;705533, 6806144;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
384;Villeneuve-la-Guyard;Les Falaises de Prépoux;107 / X;Enclos circulaire;;;;;;;16.3;;;;705396, 6806132;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
387;Villeneuve-la-Guyard;Les Falaises de Prépoux;26 / G;Enclos circulaire;;;;;;;15.5;;90.4;;705435, 6806061;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
406;Villeneuve-la-Guyard;Les Falaises de Prépoux;168 / AD;Enclos circulaire;;;;*;;;15;;;;705579, 6806091;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
383;Villeneuve-la-Guyard;Les Falaises de Prépoux;16 / D;Enclos circulaire;;;;;;;14.6;;;Structure mal conservée;705351, 6806080;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
403;Villeneuve-la-Guyard;Les Falaises de Prépoux;169 / AC;Enclos circulaire;;;;;;;14.3;;324.6;;705568, 6806097;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
408;Villeneuve-la-Guyard;Les Falaises de Prépoux;E 2;Enclos ovale;;;*;;;;13.8;;11.9;;705698, 6806142;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
389;Villeneuve-la-Guyard;Les Falaises de Prépoux;37 / N;Enclos circulaire;;;;;;*;13.5;;26.2;;705445, 6806123;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
400;Villeneuve-la-Guyard;Les Falaises de Prépoux;117;Enclos circulaire;;;;;;;13.4;;270.5;;705537, 6806032;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
382;Villeneuve-la-Guyard;Les Falaises de Prépoux;15 / A;Enclos circulaire;;;;;;*;12.5;;135.2;;705342, 6806091;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
